catid,artid,cat_name,art_details,art_name,ref,art_price
206,2196,Animales resina,Gallina echada 2cm,Gallina echada,524,1.2
206,2197,Animales resina,Pajaros colores surtidos con alambre. Precio unidad,Pajaros alambre,525,1.2
206,2198,Animales resina,Cisne grande,Cisne grande,542,2.8
206,2199,Animales resina,Oveja resina 12 cm varias posturas. Precio unidad,Oveja,750,2.3
206,2200,Animales resina,Gato para poner sentado ,Gato sentar,819,4.5
206,2201,Animales resina,"Cerdo mini resina 1,25 cm.",Cerdo mini,612,1
232,2202,Animales de plástico,RatÃ³n de plastico con trampa,Raton con trampa,1036,1.5
191,2203,Menaje varios,Tarro de cristal con tapa,Tarro cristal,1028,4
191,2204,Menaje varios,Botella verde de cristal,Botella cristal,1029,3.5
191,2205,Menaje varios,"Jarra cristal, precio unidad",Copa cristal,11103A,1.5
191,2206,Menaje varios,Jarra cristal transparente,Jarra cristal,11109,3.5
191,2207,Menaje varios,Jarra cristal verde,Jarra cristal,11112,3.5
191,2208,Menaje varios,Frutero cristal transparente,Frutero cristal,11151,5
191,2209,Menaje varios,Vaso cristal. precio unidad,Vaso cristal,11163,1.5
233,2210,Casa de Muñecas,Paquetes surtidos de comida. Precio unidad,Paquetes de comida,11177,1
233,2211,Casa de Muñecas,Botella de cerveza. Precio unidad,botella cerveza,11179,0.8
233,2212,Casa de Muñecas,Latas de comida surtidas. Precio unidad,Lata comida,11178,1
233,2213,Casa de Muñecas,Carrito de bebe,Carrito de bebe,11025,4.5
233,2214,Casa de Muñecas,Oso de peluche,Oso peluche ,11218,2
233,2215,Casa de Muñecas,Oso de peluche,Osito peluche,112220,2
233,2216,Casa de Muñecas,Perro de peluche,Perro peluche,112221,2
191,2217,Menaje varios,Garrafa de ceramica color verde,Garrafa verde,11247,2
233,2218,Casa de Muñecas,Cojin cuadrado,Cojin cuadrado,11138,4.2
233,2219,Casa de Muñecas,Cojin rectangular,Cojin rectangular,11139,3.2
233,2220,Casa de Muñecas,Maquina de coser con pie,MÃ¡quina coser pie,11546,9.5
233,2221,Casa de Muñecas,Bastidor de bordar,Bastidor de bordar,11564,3.8
233,2222,Casa de Muñecas,Cesto de bebe con biberon y varios,Cesto de bebe,11620,4.3
233,2223,Casa de Muñecas,Botella de coca cola. Precio unidad,Botella coca cola,11629,0.8
190,2224,Menaje de metal,Candelabro de 7 brazos,Candelabro 7 brazos,11143,8
190,2225,Menaje de metal,Jarra plateada con 3 patas,Jarra plateada,11144,9
190,2226,Menaje de metal,Caliz plateado,Caliz plateado,11146,6.5
190,2227,Menaje de metal,Jarra metal. Precio unidad,Jarra metal,11298,1.5
192,2233,Cestos,Cesta mimbre. Medidas de la base 1cm de diametro. 5cm de alto,Capazo conico,446,2
192,2234,Cestos,Cesta mimbre. Medidas de la base 3cm. diametro,Cesto bajo,450,1.2
192,2235,Cestos,"Cesta mimbre. Medidas de la bas2 6,5x2,5 cm.",Cesto bajo rectang.,466,1.2
192,2236,Cestos,"Cesta mimbre. Medidas de la base 3cm diametro. Alto con asa 4,5cm",Cesto asa alta peq,469,1.2
192,2237,Cestos,Cesta mimbre. Medidas de la base 4cm diametro. Alto con asa 7 cm,Cesto asa alta grand,0469 gr.,2
192,2238,Cestos,Cesta mimbre. Medidas de la base 5.5x4 cm. ,Cesta rejilla,473,2.5
192,2239,Cestos,"Cesta mimbre. Medidas de la base 2,5 cm. diametro. altura total 5.5",Cesta tapa peq.,475,2
192,2240,Cestos,"Cesta mimbre. Medidas de la base 3,2 cm. diametro. altura total 7,5",Cesta tapa grande,0475 gr,2
192,2241,Cestos,"Cesta mimbre. Medidas de la base 2,5 cm. diametro. altura total con asa 5,5",Cesta rejilla peq.,2008-480,2
192,2242,Cestos,"Cesta mimbre. Medidas de la base 2,5 cm. diametro. altura total con asa 7,5",Cesta rejilla med.,2008-480Med,2
192,2243,Cestos,"Cesta mimbre. Medidas de la base 4,2x2,7 cm",Cesta rejilla cuadr.,4,2
189,2244,Alimentos varios,Cesta mimbre. Medidas de la base 3cm. diametro,Cesta almejas,9005,3.2
189,2245,Alimentos varios,Cesta mimbre. Medidas de la base 3cm. diametro,Cesta boquerones,9006,3.2
189,2246,Alimentos varios,Cesta mimbre. Medidas de la base 3cm. diametro,Cesta gambas,9007,3.2
233,2247,Casa de Muñecas,Colores surtidos. Precio unidad,Botella,1003,1
233,2248,Casa de Muñecas,Juguete de madera,Caballito juguete,382,4.5
202,2249,Complementos de agua,Fuente de pared de resina,Fuente pared,9220,3.5
195,2250,Complementos varios,Elaborado en madera,Limpia aceitunas,9327,12.5
233,2251,Casa de Muñecas,Elaborado en madera,Ovillos en tabla,1002,3.8
189,2252,Alimentos varios,Elaborado en miga de pan,Roscon de Reyes,8955,3
238,2255,Montserrat Ribes 12 cm,"Altura de la colecciÃ³n 12cm. Altura de la pieza 7,5cm.",Nacimiento 12cm,420,183
237,2254,Montserrat Ribes 9-10cm,Altura de la colecciÃ³n 9cm. Altura de la pieza 7cm,Grupo Nacimiento 9cm,400,148.5
240,2256,Montserrat Ribes 15 cm,Altura de la colecciÃ³n 15cm. Altura de la pieza 5 cm.,Tropezón 15cm,422,86
240,2257,Montserrat Ribes 15 cm,"Altura de la colecciÃ³n 15cm. Altura de la pieza 11,5 cm.",Niña Paraguas 15cm,419,89
240,2258,Montserrat Ribes 15 cm,"Altura de la colecciÃ³n 15cm. Altura de la pieza 13,5 cm.",Abuela cesto 15cm,421,97.5
240,2259,Montserrat Ribes 15 cm,Altura de la colecciÃ³n 15cm. Altura de la pieza 15cm,Virgen Embarazada 15,407,105
240,2260,Montserrat Ribes 15 cm,"Altura de la colecciÃ³n 15cm. Altura de la pieza 15,5 cm",San Jose 15cm,408,105
240,2261,Montserrat Ribes 15 cm,Altura de la colecciÃ³n 15cm. Altura de la pieza 10 cm,Posadero 15cm,409,105
240,2262,Montserrat Ribes 15 cm,"Altura de la colecciÃ³n 15cm. Altura de la pieza 10,5 cm",Mula cargada 15cm,410,88.5
241,2263,Montserrat Ribes 17 cm,Altura de la colecciÃ³n 17cm. Altura de la pieza 12 cm,Maria dobla ropa 17c,414,114
241,2264,Montserrat Ribes 17 cm,Altura de la colecciÃ³n 17cm. Altura de la pieza 18 cm,San Jose Carp 17cm,415,114
241,2265,Montserrat Ribes 17 cm,Altura de la colecciÃ³n 17cm. Altura de la pieza 6.5 cm,Niño Jesus carro 17,416,61
241,2266,Montserrat Ribes 17 cm,"Altura de la colecciÃ³n 17cm. Altura de la pieza 8,5 cm",Angel tirando 17cm,417,61
241,2267,Montserrat Ribes 17 cm,"Altura de la colecciÃ³n 17cm. Altura de la pieza 10,5 cm",Angel mirando 17cm,418,69.5
241,2268,Montserrat Ribes 17 cm,Altura de la colecciÃ³n 17cm. Altura de la pieza 14 cm,Caricias S Jose 17cm,399,124.5
241,2269,Montserrat Ribes 17 cm,Altura de la colecciÃ³n 17cm. Altura de la pieza 16.5 cm,Pastor cabra 17cm,412,114
241,2270,Montserrat Ribes 17 cm,Altura de la colecciÃ³n 17 cm. Altura de la pieza 18cm.,Pastor señalando 17c,413,115.5
241,2271,Montserrat Ribes 17 cm,Altura de la colecciÃ³n 17 cm. Altura de la pieza 8cm.,Cobijo 17c,401,119
240,2272,Montserrat Ribes 15 cm,Altura de la colecciÃ³n 15 cm. Altura de la pieza 7cm.,Amigo fiel 15cm,423,86
243,2273,Montserrat Ribes 22-30 cm,Escala de la coleccion 30cm. Altura de la pieza 11cm.,Buen descanso 30cm,377,400
243,2274,Montserrat Ribes 22-30 cm,"Escala de la coleccion 25- 30cm. Altura de la pieza 24,5cm.",Pastor rebaño 30cm,402,195.5
243,2275,Montserrat Ribes 22-30 cm,Escala de la coleccion 25- 30cm. Altura de la pieza 19cm.,Pastorcillo 30cm,411,142
219,2280,Belen Naif-Infantil,Figuras de resina 10 cm Naif. Precio 5 piezas,Nacimiento 1,28250,19
